mnemonic,opcode,operand,format
add,18,m,3
addf,58,m,3
addr,90,r1/r2,2
and,40,m,3
clear,b4,r1,2
comp,28,m,3
compf,88,m,3
compr,a0,r1/r2,2
div,24,m,3
divf,64,m,3
divr,9c,r1/r2,2
fix,c4,m,1
float,c0,m,1
hio,f4,m,1
j,3c,m,3
jeq,30,m,3
jgt,34,m,3
jlt,38,m,3
jsub,48,m,3
lda,00,m,3
ldb,68,m,3
ldch,50,m,3
ldf,70,m,3
ldl,08,m,3
lds,6c,m,3
ldt,74,m,3
ldx,04,m,3
lps,d0,m,3
mulf,60,m,3
mulr,98,r1/r2,2
norm,c8,,1
or,44,m,3
rd,d8,m,3
rmo,ac,r1/r2,2
rsub,4c,,3
shiftl,a4,r1/n,2
shiftr,a8,r1/n,2
sio,f0,,1
ssk,ec,m,3
sta,0c,m,3
stb,78,m,3
stch,54,m,3
stf,80,m,3
sti,d4,m,3
stl,14,m,3
sts,7c,m,3
stsw,e8,m,3
stt,84,m,3
stx,10,m,3
sub,1c,m,3
subf,5c,m,3
subr,94,r1/r2,2
svc,b0,n,2
td,e0,m,3
tio,f8,,4
tix,2c,m,3
tixr,b8,r1,2
wd,dc,m,3
